Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
آ س پ,آ.س.پ,فرابورس,بازار دوم فرابورس,انبوه سازی، املاک و مستغلات,پیمانکاری املاک و مستغلات,-,A.S.P CO,IRO3ASPZ0008,ASPZ,ASPZ1,IRO3ASPZ0001,70,7021,3
آردینه,نشاسته و گلوکز آردینه,فرابورس,بازار دوم فرابورس,محصولات غذایی و آشامیدنی به جز قند و شکر,تولید نشاسته و محصولات وابسته,-,Ardineh StarchGlu,IRO3ARDZ0003,ARDZ,ARDZ1,IRO3ARDZ0001,42,4232,3
آریا,پلیمر آریا ساسول,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Arya Sasol Polymer,IRO3APOZ0002,APOZ,APOZ1,IRO3APOZ0001,44,4411,3
آریان,سرمایه گذاری پارس آریان,فرابورس,بازار دوم فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Pars Arian Inv,IRO3PAIP0002,PAIP,PAIP1,IRO3PAIP0001,56,5699,3
اپرداز,آتیه داده پرداز,فرابورس,بازار دوم فرابورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Atieh Dade Pardaz,IRO3APDZ0005,APDZ,APDZ1,IRO3APDZ0001,73,7310,3
اتکاسا,بیمه اتکایی سامان,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Saman Reinsurance,IRO3SREP0004,SREP,SREP1,IRO3SREP0001,66,6603,3
اتکای,بیمه اتکایی ایرانیان,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,S*Iranian Etekai,IRO3ETKZ0008,ETKZ,ETKZ1,IRO3ETKZ0001,66,6603,3
اخشان,اخشان خراسان,فرابورس,بازار دوم فرابورس,زراعت و خدمات وابسته,کشاورزی، دامپروری و خدمات وابسته,-,AKHSHAN,IRO3AKHZ0006,AKHZ,AKHZ1,IRO3AKHZ0001,01,121,3
ارفع,شرکت آهن و فولاد ارفع,فرابورس,بازار دوم فرابورس,فلزات اساسی,تولید آهن و فولاد پایه,-,S*Arfa Steel Co.,IRO3ARFZ0001,ARFZ,ARFZ1,IRO3ARFZ0001,27,2710,3
اعتلا,شرکت سرمایه گذاری اعتلاء البرز,فرابورس,بازار دوم فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Alborz Invest.,IRO3ETLZ0007,ETLZ,ETLZ1,IRO3ETLZ0001,56,5699,3
افرا,افرانت,فرابورس,بازار اول فرابورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای,-,Afra Net Co.,IRO3AFRZ0001,AFRZ,AFRZ1,IRO3AFRZ0001,72,7200,1
الکتروماد,صنایع الکترونیک مادیران,فرابورس,بازار دوم فرابورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,MaadiranElec.Ind.,IRO3MAAZ0001,MAAZ,MAAZ1,IRO3MAAZ0001,29,2930,3
انتخاب,صنعتی انتخاب الکترونیک آرمان,فرابورس,بازار اول فرابورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,Entekhab Elect.,IRO3EELZ0004,EELZ,EELZ1,IRO3EELZ0001,29,2930,1
اوان,مبین وان کیش,فرابورس,بازار دوم فرابورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Mobin One Kish,IRO3MOBZ0004,MOBZ,MOBZ1,IRO3MOBZ0001,73,7310,3
بالاس,مهندسی ساختمان تاسیسات راه آهن,فرابورس,بازار دوم فرابورس,پیمانکاری صنعتی,ساختمان و مهندسی عمران,-,Const and Rail,IRO3BLSZ0001,BLSZ,BLSZ1,IRO3BLSZ0001,45,4520,3
بانیان,نیان باتری خاوران,فرابورس,بازار دوم فرابورس,ماشین آلات و دستگاه های برقی,تولید انباره، پیل و باتری ساده,-,Nian Battery,IRO3NIAN0006,NIAN,NIAN1,IRO3NIAN0001,31,3140,3
بپاس,بیمه پاسارگاد,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,S*Pasargad Insur.,IRO3BIPZ0009,BIPZ,BIPZ1,IRO3BIPZ0001,66,6611,3
بپیوند,برق و انرژی پیوندگستر پارس,فرابورس,بازار اول فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Peyvand Gostar,IRO3PGRZ0003,PGRZ,PGRZ1,IRO3PGRZ0001,40,4010,1
بتهران,بیمه اتکایی تهران رواک,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Tehran Reinsurance,IRO3THRP0000,THRP,THRP1,IRO3THRP0001,66,6603,3
بجهرم,توسعه مولد نیروگاهی جهرم,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Jahrom Power Plant,IRO3JPPZ0002,JPPZ,JPPZ1,IRO3JPPZ0001,40,4010,3
بخاور,بیمه زندگی خاورمیانه,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه زندگی,-,MiddleEast LifeINS,IRO3MLIZ0000,MLIZ,MLIZ1,IRO3MLIZ0001,66,6601,3
بزاگرس,نیروگاه زاگرس کوثر,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Zagros Kosar Power,IRO3ZKPZ0007,ZKPZ,ZKPZ1,IRO3ZKPZ0001,40,4010,3
بساما,بیمه سامان,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Bime Saman Co.,IRO3BSMZ0000,BSMZ,BSMZ1,IRO3BSMZ0001,66,6611,3
بکابل,سیم و کابل ابهر,فرابورس,بازار دوم فرابورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Abhar Cable,IRO3ABCZ0002,ABCZ,ABCZ1,IRO3ABCZ0001,31,3130,3
